Loss_train,Average_training_loss,Accuracy_train,F1_score_train,Accuracy_val,F1_score_val
1.8526,1.2341,0.4677,0.3457,0.5422,0.4423
1.3051,0.9673,0.6072,0.5159,0.6310,0.5474
0.3368,0.7521,0.7166,0.6387,0.6944,0.6234
0.0561,0.5759,0.7967,0.7313,0.7455,0.6791
0.0204,0.4620,0.8532,0.7984,0.7862,0.7220
0.0060,0.3984,0.8834,0.8353,0.7743,0.7062
0.0057,0.3418,0.9098,0.8709,0.7753,0.7139
0.0015,0.2954,0.9286,0.8966,0.8105,0.7544
0.0006,0.2567,0.9396,0.9127,0.8194,0.7674
0.0005,0.2202,0.9511,0.9278,0.8224,0.7690
0.0006,0.1951,0.9568,0.9357,0.8185,0.7643
0.0003,0.1540,0.9663,0.9499,0.8264,0.7721
0.0003,0.1487,0.9690,0.9550,0.8274,0.7750
0.0003,0.1324,0.9738,0.9606,0.8323,0.7765
0.0003,0.1154,0.9755,0.9640,0.8353,0.7841
0.0002,0.1108,0.9774,0.9661,0.8373,0.7826
0.0012,0.1041,0.9787,0.9675,0.8413,0.7877
0.0001,0.0900,0.9822,0.9730,0.8447,0.7948
0.0001,0.1180,0.9754,0.9631,0.8373,0.7863
0.0002,0.0678,0.9856,0.9771,0.8313,0.7817
0.0001,0.0586,0.9881,0.9815,0.8482,0.8036
0.0001,0.0499,0.9900,0.9849,0.8388,0.7907
0.0000,0.0513,0.9889,0.9826,0.8373,0.7865
0.0001,0.0524,0.9889,0.9836,0.8373,0.7837
0.0000,0.0519,0.9898,0.9852,0.8373,0.7874
0.0001,0.0475,0.9914,0.9879,0.8363,0.7817
0.0001,0.0847,0.9828,0.9744,0.8358,0.7794
0.0014,0.0465,0.9909,0.9863,0.8309,0.7814
0.0000,0.0418,0.9918,0.9863,0.8452,0.7975
0.0000,0.0506,0.9908,0.9857,0.8403,0.7887
0.0000,0.0455,0.9905,0.9845,0.8363,0.7877
0.0000,0.0437,0.9913,0.9874,0.8328,0.7768
0.0000,0.0435,0.9909,0.9863,0.8398,0.7859
0.0001,0.0510,0.9898,0.9843,0.8487,0.8008































